"building","building_source_file","can_build_rural","can_build_town","can_build_city","can_build_megalopolis","unlock_advance","advance_age","starting_technology_level","effective_starting_technology_level","technology_level_source","advance_requires"
"beer_iron_age","in_game/common/building_types/00_iron_age_basic_industry.txt","no","yes","yes","yes","independent_craftsmen","age_2_renaissance","","","","dispersion_of_authority_advance"
"beer_palace","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","royal_production_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"black_market","in_game/common/building_types/pirate_buildings.txt","no","yes","yes","yes","","","",,,""
"bog_iron_smelter","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","bog_iron_smelting_advance","age_1_traditions","4","4","explicit","bloomery_smelting_advance"
"bridge_infrastructure","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
"bronze_age_aristocratic_mounds","in_game/common/building_types/00_bronze_age_burial.txt","yes","yes","no","no","aristocratic_burial_advance","age_1_traditions","3","3","explicit","aristocratic_recognition_advance"
"bronze_age_bronze_forge","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","no","no","bronze_forge_advance","age_1_traditions","2","2","explicit","mining_advance"
"bronze_age_bronze_foundry","in_game/common/building_types/00_bronze_age_bronze_industry.txt","no","yes","yes","yes","bronze_foundry_advance","age_1_traditions","","3","inferred_from_prerequisite_workforce_specialization_advance","workforce_specialization_advance"
"bronze_age_burial_pits","in_game/common/building_types/00_bronze_age_burial.txt","yes","yes","yes","no","ceremonial_burial_advance","age_1_traditions","1","1","explicit","settlements_advance"
"bronze_age_collective_tombs","in_game/common/building_types/00_bronze_age_burial.txt","yes","yes","yes","no","ceremonial_burial_advance","age_1_traditions","1","1","explicit","settlements_advance"
"bronze_age_palace_house","in_game/common/building_types/00_bronze_age_palatial_complex.txt","yes","yes","yes","yes","","","",,,""
"bronze_age_palatial_complex","in_game/common/building_types/00_bronze_age_palatial_complex.txt","no","no","yes","yes","palace_economy_advance","age_1_traditions","3","3","explicit",""
"bronze_age_trade_office","in_game/common/building_types/00_bronze_age_trade.txt","no","yes","yes","yes","bronze_age_trade_posts_advance","age_1_traditions","3","3","explicit","intercultural_relations_advance"
"bronze_age_triumphal_monument","in_game/common/building_types/00_bronze_age_monumental.txt","yes","yes","yes","yes","triumphal_monuments_advance","age_1_traditions","","3","inferred_from_prerequisite_royal_reliefs_advance","royal_reliefs_advance"
"bronze_age_urnfield_burial_site","in_game/common/building_types/00_bronze_age_burial.txt","yes","yes","yes","yes","urnfield_advance","age_1_traditions","","1","inferred_from_prerequisite_ceremonial_burial_advance","ceremonial_burial_advance"
"bronze_age_victory_stelae","in_game/common/building_types/00_bronze_age_government.txt","yes","yes","yes","yes","triumphal_monuments_advance","age_1_traditions","","3","inferred_from_prerequisite_royal_reliefs_advance","royal_reliefs_advance"
"bronze_city_walls","in_game/common/building_types/00_bronze_age_forts.txt","no","setup_only","yes","yes","bronze_city_walls_advance","age_1_traditions","3","3","explicit","city_building_advance"
"bronze_dock","in_game/common/building_types/00_bronze_age_port.txt","no","yes","yes","yes","sailing_advance","age_1_traditions","3","3","explicit","long_distance_trade_advance"
"bronze_monument_abu_simbel","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_assur_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_avebury","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_bru_na_boinne","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_chogha_zanbil","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_giza_pyramid_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_great_pyramid_new","in_game/common/building_types/01_bronze_historical_monuments.txt","no","no","yes","yes","","","",,,""
"bronze_monument_great_pyramid_unfinished","in_game/common/building_types/01_bronze_historical_monuments.txt","no","no","yes","yes","","","",,,""
"bronze_monument_hattusa_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_karnak_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_knossos_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_luxor_temple","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_madau_giants_tombs","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_mycenae_citadel","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_nuraghe_arrubiu","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_pylos_palace","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_romanzesu","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_santu_antine","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_serra_orrios","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_stonehenge","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_su_nuraxi","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_theban_necropolis","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_tiryns_cyclopean","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_troy_citadel","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_ugarit_complex","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_ur_ziggurat","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monument_yin_xu","in_game/common/building_types/01_bronze_historical_monuments.txt","yes","yes","yes","yes","","","",,,""
"bronze_monumental_gates","in_game/common/building_types/00_bronze_age_monumental.txt","no","no","yes","yes","monumental_gates_advance","age_1_traditions","4","4","explicit","bronze_city_walls_advance"
"brothel","in_game/common/building_types/pirate_buildings.txt","no","yes","yes","yes","","","",,,""
"charcoal_maker","in_game/common/building_types/rural_buildings.txt","yes","no","no","no","charcoal_maker_advance","age_1_traditions","1","1","explicit","bronze_forge_advance"
"clay_pit","in_game/common/building_types/common_buildings.txt","yes","yes","yes","yes","","","",,,""
